Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight,simulated_RS
92,0,downRight,lowC,4.126075733193868,1,0,0,0,1,0.0010240000000002,0.0012800000000503,0.0066564266404085,0.8000020481625296,3.9404645220754704
93,0,midRight,lowA,3.869416545731762,1,0,1,0,0,0.0002048,0.8002560000000101,0.0013312853280817,0.1600004096325058,3.8667717066869267
94,0,downRight,lowC,4.316216988347694,1,0,0,0,1,4.096000000001069e-05,0.1600512000000019,0.0002662570656163,0.8320000819265012,4.247639069737036
95,0,midLeft,high,3.8352519727280217,1,100,0,0,0,80.00000819200001,0.0320102400000003,5.32514131232686e-05,0.1664000163853002,4.0589022953855896
96,0,midLeft,high,204.12162187631145,1,100,0,0,0,96.0000016384,0.006402048,1.0650282624653716e-05,0.03328000327706,203.97883870529662
97,0,downRight,lowC,4.116363445049993,0,0,0,0,0,19.20000032768,0.0012804096,2.1300565249307422e-06,0.006656000655412,4.11278492028688
98,0,midLeft,high,51.92601104361058,1,100,0,0,0,83.840000065536,0.00025608192,4.260113049861483e-07,0.0013312001310824,52.02287111448034
99,0,downRight,lowC,4.075448188660039,0,0,0,0,0,16.768000013107198,5.121638400000056e-05,8.520226099722966e-08,0.0002662400262164,4.060869899223886
100,1,midRight,lowB,4.050419618718116,1,0,1,0,0,3.353600002621439,0.8000102432768,1.7040452199445936e-08,5.324800524329602e-05,4.055055059484224
101,1,midLeft,lowA,12.413968069696011,1,1,0,0,0,1.4707200005242878,0.1600020486553599,3.4080904398891854e-09,1.06496010486592e-05,12.344728924099156
102,1,downLeft,high,4.079638105175079,1,0,0,100,0,0.2941440001048574,0.0320004097310719,80.00000000068162,2.1299202097318404e-06,4.169720164171323
103,1,downLeft,high,203.93281916046723,1,0,0,100,0,0.0588288000209714,0.0064000819462143,96.00000000013632,4.2598404194636805e-07,204.01366768451436
104,1,midLeft,lowA,4.089175378027727,0,0,0,0,0,0.0117657600041942,0.0012800163892428,19.20000000002726,8.51968083892736e-08,4.0411320890656635
105,1,downRight,lowC,4.202761996718686,1,0,0,0,1,0.0023531520008388,0.0002560032778485,3.840000000005452,0.8000000170393617,4.137251206410306
106,1,midLeft,lowA,4.081642249935625,1,1,0,0,0,0.8004706304001679,5.120065556971516e-05,0.76800000000109,0.1600000034078723,4.074237351411779
107,1,midRight,lowB,4.033594804348657,0,0,0,0,0,0.1600941260800334,1.024013111394303e-05,0.153600000000218,0.0320000006815744,3.9735561021202694
108,1,midRight,lowB,4.056139944665197,0,0,0,0,0,0.0320188252160066,2.0480262227886056e-06,0.0307200000000436,0.0064000001363148,3.987971560133467
109,1,downLeft,high,3.978522744500476,1,0,0,100,0,0.0064037650432013,4.09605244557721e-07,80.00614400000002,0.0012800000272629,4.011379824740861
110,1,downRight,lowC,4.154608687257666,1,0,0,0,1,0.0012807530086402,8.192104891154418e-08,16.001228800000007,0.8002560000054526,3.9442720206453457
111,1,midRight,lowB,3.9939774358046902,0,0,0,0,0,0.000256150601728,1.638420978230883e-08,3.2002457600000014,0.1600512000010905,3.9937623362267267
112,1,midRight,lowB,3.98370079157221,1,0,1,0,0,5.1230120345610656e-05,0.800000003276842,0.640049152,0.0320102400002181,3.9988670967254305
113,1,midRight,lowB,5.940515875194198,1,0,1,0,0,1.0246024069122126e-05,0.9600000006553684,0.1280098304,0.0064020480000436,5.666911573969175
114,1,midLeft,lowA,3.9996400383934687,1,1,0,0,0,0.8000020492048139,0.1920000001310736,0.0256019660799999,0.0012804096000087,3.999243683307636
115,1,downRight,lowC,3.886243057056365,1,0,0,0,1,0.1600004098409627,0.0384000000262147,0.0051203932159999,0.8002560819200017,3.7385385495792973
116,1,midLeft,lowA,4.295784961549532,1,1,0,0,0,0.8320000819681926,0.0076800000052429,0.0010240786431999,0.1600512163840003,4.413420894599792
117,1,downLeft,high,4.022643793988364,1,0,0,100,0,0.1664000163936384,0.0015360000010485,80.00020481572865,0.0320102432768,3.8329239264409285
118,1,downRight,lowC,4.123164628264863,1,0,0,0,1,0.0332800032787276,0.0003072000002097,16.00004096314572,0.80640204865536,3.915990697791484
119,1,midRight,lowB,4.024600856599715,1,0,1,0,0,0.0066560006557455,0.800061440000042,3.2000081926291437,0.1612804097310719,4.144301486049735
120,1,midRight,lowB,5.994655427049715,1,0,1,0,0,0.0013312001311491,0.9600122880000084,0.6400016385258285,0.0322560819462143,5.956457733711008
121,1,downLeft,high,5.671691530750939,0,0,0,0,0,0.0002662400262298,0.1920024576000016,0.1280003277051656,0.0064512163892428,5.605827182130934
122,1,downLeft,high,4.379134297835756,1,0,0,100,0,5.324800524596424e-05,0.0384004915200003,80.02560006554104,0.0012902432778485,4.249098676335675
123,1,downLeft,high,204.0033539330624,1,0,0,100,0,1.0649601049192844e-05,0.007680098304,96.0051200131082,0.0002580486555697,204.05174093863982
124,1,downLeft,high,244.0674088851676,1,0,0,100,0,2.129920209838568e-06,0.0015360196608,99.20102400262164,5.160973111394292e-05,243.91946712220627
125,1,downRight,lowC,4.03296620756988,1,0,0,0,1,4.259840419677136e-07,0.00030720393216,19.84020480052432,0.8000103219462228,4.023324057551374
126,1,midRight,lowB,4.092039955115072,1,0,1,0,0,8.51968083935427e-08,0.800061440786432,3.968040960104864,0.1600020643892444,4.058893610706109
127,1,midRight,lowB,5.997725181956469,1,0,1,0,0,1.7039361678708532e-08,0.9600122881572865,0.7936081920209723,0.0320004128778488,6.142652260090505
128,1,downLeft,high,5.96104543135194,0,0,0,0,0,3.407872335741705e-09,0.1920024576314573,0.1587216384041944,0.0064000825755697,5.9586359361131
129,1,midLeft,lowA,3.913280744596253,0,0,0,0,0,6.815744671483408e-10,0.0384004915262914,0.0317443276808388,0.0012800165151139,3.9165074641067337
130,1,downRight,lowC,4.086349967473767,1,0,0,0,1,1.363148934296681e-10,0.0076800983052582,0.0063488655361677,0.8002560033030228,3.906452140551364
131,1,downLeft,high,3.933602820514664,1,0,0,100,0,2.7262978685933618e-11,0.0015360196610516,80.00126977310724,0.1600512006606045,3.798292061663774
132,1,downLeft,high,203.9469959588016,1,0,0,100,0,5.452595737186722e-12,0.0003072039322103,96.00025395462146,0.0320102401321208,203.98483382458605
