Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight
805,8,midRight,lowB,5.6673733713065815,1,0,1,0,0,0.07146384972255698,0.26607570214327814,0.2902123586288432,16.679493072849713
806,8,downRight,high,110.66953858707092,1,0,0,0,100,0.05834235027269073,0.21722146055329844,0.2369263781103492,31.97799700248187
807,8,downLeft,lowA,6.418689691851135,1,0,0,1,0,0.047630093376664885,0.1773373613029108,0.37703456076080166,26.10650712746262
808,8,midLeft,lowC,5.300318264427473,0,0,0,0,0,0.03888471726741062,0.1447763937954131,0.3078071289780179,21.313083316111396
809,8,downLeft,lowA,6.876386571768041,0,0,0,0,0,0.031745082358105074,0.1181939555568457,0.2512905672586297,17.39978152656287
810,8,midLeft,lowC,5.254938789886755,1,1,0,0,0,0.20952666589289476,0.09649232698746926,0.20515102883687125,14.20500228342166
811,8,downRight,high,94.92880119417252,1,0,0,0,100,0.1710554102591791,0.07877534112121876,0.1674831852701843,29.95784822874753
812,8,midRight,lowB,5.372378228331211,1,0,1,0,0,0.13964787371690962,0.24792168436482553,0.13673154605796164,24.457278492037542
813,8,midLeft,lowC,5.895264126273437,1,1,0,0,0,0.29761739250917135,0.20240070756841097,0.1116262247893174,19.966670058201633
814,8,downLeft,lowA,5.7762808710122915,1,0,0,1,0,0.24297177144004667,0.16523785133659558,0.2747408071684865,16.30058362147196
815,8,midRight,lowB,5.998035510927582,0,0,0,0,0,0.19835964967973116,0.1348984785792131,0.22429556297701364,13.307628444105815
816,8,downRight,high,89.52697340758678,1,0,0,0,100,0.16193877333101817,0.11012972739470714,0.18311258560263127,29.225241476352146
817,8,downLeft,lowA,6.09930623048504,1,0,0,1,0,0.1322051453019607,0.0899087742409975,0.3331015352636295,23.85918589100462
818,8,midLeft,lowC,5.79094205578849,0,0,0,0,0,0.10793091786971516,0.0734005965214725,0.2719406598184922,19.478393423785263
819,8,midRight,lowB,5.4543320486542815,0,0,0,0,0,0.08811368880985931,0.059923490395571294,0.22200955154406185,15.901959610231511
820,8,downRight,high,105.66617928588292,0,0,0,0,0,0.07193510727901695,0.04892091987478154,0.1812463094327015,12.982195910297682
821,8,midRight,lowB,5.460616513010938,1,0,1,0,0,0.058727080084118186,0.22354884259503316,0.14796761875560502,10.598530922246265
822,8,midRight,lowB,6.609610627837334,1,0,1,0,0,0.04794418282896544,0.36611327866013177,0.12079923871958165,8.65253139653433
823,8,midRight,lowB,7.362087278646672,1,0,1,0,0,0.03914113665867233,0.48250141472654406,0.09861925330658004,7.063837442873175
824,8,downRight,high,49.90594720020904,1,0,0,0,100,0.03195442050599076,0.3939091814159495,0.080511741844039,24.127874863195736
825,8,downRight,high,157.75855175922882,0,0,0,0,0,0.02608725951875098,0.3215833953393117,0.0657289561360802,19.69774833106834
826,8,midLeft,lowC,5.2656870317543785,1,1,0,0,0,0.20490767764700632,0.2625373691118861,0.05366044226328739,16.081038695453298
827,8,downLeft,lowA,5.293566070278254,0,0,0,0,0,0.1672845158672135,0.21433280193918314,0.043807831938335075,13.128394229546984
828,8,downLeft,lowA,5.328664939648915,1,0,0,1,0,0.13656935440523668,0.17497909018629415,0.2193745703088164,10.71788572308663
829,8,midLeft,lowC,5.888257512335341,0,0,0,0,0,0.11149381319588487,0.14285112556458351,0.17909513791331816,8.74997142564541
830,8,downRight,high,60.54794407968098,1,0,0,0,100,0.09102239982824592,0.11662218641863079,0.14621142450119887,25.504417266263815
831,8,midRight,lowB,5.8417893888157035,1,0,1,0,0,0.07430974897178291,0.27881945874488373,0.11936549983292453,20.82154335969888
832,8,downRight,high,136.9199362967678,1,0,0,0,100,0.060665713084570125,0.22762533208173236,0.09744876365832192,35.3595241609072
833,8,downRight,high,229.05270257261978,1,0,0,0,100,0.04952686282733759,0.18583097477686245,0.07955616616046819,47.22818183124857
834,8,downRight,high,304.0269329413004,1,0,0,0,100,0.04043322029526747,0.15171049228439668,0.06494883399797269,56.917631612613334
835,8,midLeft,lowC,5.241925798337731,0,0,0,0,0,0.03300926426826364,0.12385488208739506,0.053023558591141995,46.46696774840703
