Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight
808,8,downLeft,lowA,5.368851413571006,1,0,0,1,0,0.016310747117659508,0.6156460613546586,0.5431399929633993,0.08934160916237893
809,8,midRight,high,8.315240068803451,1,0,100,0,0,0.010042651485887514,0.9999,0.3344154389760114,0.055008310626968565
810,8,midRight,high,11.496866428022646,1,0,100,0,0,0.006183337166560814,0.9999,0.20590213807557817,0.0338690366829351
811,8,midLeft,lowC,3.1884403580656167,1,1,0,0,0,0.3880994957675392,0.6156460613546586,0.12677551788252103,0.020853424378163263
812,8,midRight,high,8.414898679430522,1,0,100,0,0,0.23895582156517103,0.9999,0.07805665392596375,0.012839612545427977
813,8,downRight,lowB,3.2514731108598527,1,0,0,0,1,0.1471269230766718,0.6156460613546586,0.048060077559799214,0.392197815319786
814,8,midLeft,lowC,4.341350016432851,1,1,0,0,0,0.47487953731045524,0.37905797865936997,0.029590956553745173,0.24147918819234726
815,8,midLeft,lowC,7.145816084390023,0,0,0,0,0,0.2923869554586503,0.23338889047574693,0.018219377791809217,0.14868057916765576
816,8,downRight,lowB,4.346987212490665,0,0,0,0,0,0.1800248800075988,0.14369932111743913,0.011217809958855768,0.0915437673412309
817,8,downRight,lowB,3.9923593337413292,0,0,0,0,0,0.11084269259178241,0.08847676874216394,0.00690689120731535,0.056364196224818516
818,8,midLeft,lowC,4.1159099596465625,1,1,0,0,0,0.452539059675385,0.05447582177967817,0.004252625630551873,0.03470386579381002
819,8,midRight,high,3.5726939156429633,1,0,100,0,0,0.27863175287357894,0.9999,0.0026183740572708596,0.021367435033243124
820,8,downLeft,lowA,3.2643501759547044,0,0,0,0,0,0.17155569679464291,0.6156460613546586,0.001612152890801102,0.013156092828750554
821,8,downRight,lowB,3.316265978835486,1,0,0,0,1,0.10562815184976092,0.37905797865936997,0.000992614839007126,0.39239267464564254
822,8,downLeft,lowA,3.1447148614658893,0,0,0,0,0,0.06503605926040315,0.23338889047574693,0.0006111605321301387,0.2415991645664665
823,8,downRight,lowB,5.046945418706663,1,0,0,0,1,0.04004319804950032,0.14369932111743913,0.00037629620408174535,0.5330468174190044
824,8,downLeft,lowA,3.158251431808277,0,0,0,0,0,0.02465490265348477,0.08847676874216394,0.00023168844479011435,0.32820099376102196
825,8,downRight,lowB,5.8817166922142405,1,0,0,0,1,0.015180211732873707,0.05447582177967817,0.00014265234373079323,0.5863682246094604
826,8,midRight,high,3.5131879722286787,0,0,0,0,0,0.009346572221095584,0.03354117923564076,0.0001,0.3610313911234504
