Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight,simulated_RS
852,8,midLeft,lowB,4.06914257873666,1,1,0,0,0,0.8000512012800001,0.1664001599999999,0.0399959999999999,0.0002581463044095,4.038264607899871
853,8,downLeft,high,4.183386178656709,0,0,0,0,0,0.1600102402559999,0.0332800319999999,0.0079991999999999,0.0001,4.09390916204958
854,8,midLeft,lowB,4.180240774475427,1,1,0,0,0,0.8320020480512,0.0066560063999999,0.0015998399999999,0.0001,4.280539567595493
855,8,midRight,lowC,4.138494216111163,1,0,1,0,0,0.1664004096102399,0.80133120128,0.0003199679999999,0.0001,4.040765612773941
856,8,midRight,lowC,6.0724874216577645,1,0,1,0,0,0.0332800819220479,0.960266240256,0.0001,0.0001,6.21034460187465
857,8,midLeft,lowB,4.114258562533026,1,1,0,0,0,0.8066560163844096,0.1920532480511999,0.0001,0.0001,4.200830448460384
858,8,downRight,lowA,4.043781006597129,1,0,0,0,1,0.1613312032768818,0.0384106496102399,0.0001,0.8000200000000001,3.7747300329611697
859,8,midLeft,lowB,4.394641300462335,1,1,0,0,0,0.8322662406553765,0.0076821299220479,0.0001,0.1600039999999999,4.55809068190074
860,8,midLeft,lowB,6.2751758328714144,1,1,0,0,0,0.9664532481310752,0.0015364259844095,0.0001,0.0320007999999999,5.947018895265645
861,8,midRight,lowC,3.933656909575257,0,0,0,0,0,0.193290649626215,0.0003072851968819,0.0001,0.0064001599999999,3.855387849089544
862,8,midRight,lowC,3.838906956184396,1,0,1,0,0,0.0386581299252429,0.8000614570393765,0.0001,0.0012800319999999,4.113100692032537
863,8,midRight,lowC,5.991783167384842,1,0,1,0,0,0.0077316259850485,0.9600122914078753,0.0001,0.0002560063999999,5.863827788736413
864,8,midRight,lowC,6.410345109438523,1,0,1,0,0,0.0015463251970097,0.9920024582815752,0.0001,0.0001,6.429506736566864
865,8,downRight,lowA,4.010742706152767,1,0,0,0,1,0.0003092650394019,0.198400491656315,0.0001,0.8000200000000001,4.1298563189299164
866,8,midLeft,lowB,3.861628878128236,1,1,0,0,0,0.8000618530078805,0.0396800983312629,0.0001,0.1600039999999999,3.8716269398227756
867,8,midLeft,lowB,5.9051565193855975,1,1,0,0,0,0.960012370601576,0.0079360196662525,0.0001,0.0320007999999999,6.090078108813996
868,8,downLeft,high,3.978627389519063,1,0,0,100,0,0.1920024741203151,0.0015872039332505,0.9999,0.0064001599999999,3.993929513007336
869,8,midRight,lowC,3.963442575679275,1,0,1,0,0,0.038400494824063,0.8003174407866501,0.1999799999999999,0.0012800319999999,4.04852491355094
