Trial,switch,t_pos,t_frequency,resp_speed,Resp,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight
488,4,midLeft,high,3.722640748352648,1,1,0,0,0,0.9616129772713543,0.03838673268470491,1.1235730174433666e-08,2.788082106432975e-07
489,4,midRight,lowA,0.3398987789083529,1,0,1,0,0,0.21362020806621673,0.7863797275011597,2.4959927479858564e-09,6.193663082334217e-08
491,4,downRight,lowC,0.42466970902009915,1,0,0,0,1,0.04745525941605147,0.17469252701281812,5.544792996341253e-10,0.7778522130166511
493,4,downRight,lowC,3.538347209217786,1,0,0,0,1,0.010542081512937576,0.038807560682036,1.231763569709267e-10,0.95065035768185
496,4,midRight,lowA,0.4871081443888479,1,0,1,0,0,0.002341900223346566,0.7864732135152577,2.7363356804556494e-11,0.21118488623403242
497,4,midRight,lowA,3.553106682757523,1,0,1,0,0,0.0005202479841746575,0.952565493982815,6.0787095350627755e-12,0.04691425802693169
498,4,downLeft,lowB,0.3445365724057887,1,0,0,1,0,0.00011557194552508539,0.2116103295514138,0.7778521992589151,0.010421899244146014
499,4,downLeft,lowB,3.4510029817726107,1,0,0,1,0,2.5674053525922245e-05,0.04700876932422851,0.9506503546255993,0.0023152019966462857
501,5,downRight,high,0.2605387271387091,1,0,0,0,1,5.703434526927192e-06,0.010442894720985814,0.21118488555509307,0.7783665162893942
502,5,downRight,high,3.4286347019753314,1,0,0,0,1,1.267005436835347e-06,0.0023198660956517854,0.04691425787610681,0.9507646090228046
503,5,downRight,high,4.1225074929012795,1,0,0,0,1,2.8146247132168077e-07,0.0005153531511659841,0.0104218992106406,0.9890624661757221
505,5,downRight,high,4.416976134022755,1,0,0,0,1,6.252626899564213e-08,0.00011448456913720713,0.002315201989203132,0.9975702509153906
506,5,midRight,lowA,0.21346965562148737,1,0,1,0,0,1.3890073146011812e-08,0.7778776317528175,0.000514317030175987,0.22160803732693335
507,5,downLeft,lowC,0.3376891860261769,1,0,0,1,0,3.085649201538082e-09,0.17280380514062232,0.7779664536547027,0.04922973811902573
508,5,downRight,high,0.3864401816327038,1,0,0,0,1,6.854701839843364e-10,0.03838798527191356,0.17282353673078388,0.7887884773118323
509,5,midLeft,lowB,0.2930676433927845,1,1,0,0,0,0.7778521994098405,0.00852780650308859,0.038392368601273125,0.17522762548579784
