Trial,switch,t_pos,t_frequency,resp_speed,Resp,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight,simulated_RS
85,0,downRight,lowC,2.856204293900704,1,0,0,0,1,0.0277456209003305,0.1595288178843691,0.3558255431342273,0.456900018081073,2.960016220028428
86,0,downLeft,high,3.606094317205637,1,0,0,1,0,0.0194219346302313,0.1116701725190584,0.5490778801939591,0.3198300126567511,3.6096279694031064
87,0,downLeft,high,4.571500509744619,1,0,0,1,0,0.0135953542411619,0.0781691207633408,0.6843545161357714,0.2238810088597258,4.4356509504538115
88,0,midRight,lowB,2.185604372616951,1,0,1,0,0,0.0095167479688133,0.3547183845343385,0.4790481612950399,0.156716706201808,2.2426946132070165
89,0,downLeft,high,4.181477099047836,1,0,0,1,0,0.0066617235781693,0.248302869174037,0.635333712906528,0.1097016943412656,4.2076420623986435
91,0,midLeft,lowA,2.035258508851375,1,1,0,0,0,0.3046632065047185,0.1738120084218259,0.4447335990345696,0.0767911860388859,2.0084833242222033
92,0,downLeft,high,4.004564797125241,1,0,0,1,0,0.213264244553303,0.1216684058952781,0.6113135193241988,0.0537538302272201,4.204907115142961
93,0,downRight,lowC,2.19125582434677,1,0,0,0,1,0.1492849711873121,0.0851678841266947,0.4279194635269391,0.3376276811590541,2.2951974686903163
94,0,downLeft,high,4.12774844208606,1,0,0,1,0,0.1044994798311184,0.0596175188886863,0.5995436244688573,0.2363393768113378,4.096400879939914
95,0,downLeft,high,4.796765679130277,1,0,0,1,0,0.0731496358817829,0.0417322632220804,0.7196805371282001,0.1654375637679365,4.588025581593673
96,0,downRight,lowC,2.7588306591292078,1,0,0,0,1,0.051204745117248,0.0292125842554562,0.5037763759897401,0.4158062946375555,2.783373047012089
97,0,midRight,lowB,2.181164565147187,1,0,1,0,0,0.0358433215820736,0.3204488089788194,0.3526434631928181,0.2910644062462889,1.958798398089516
99,0,downLeft,high,3.670786727108122,1,0,0,1,0,0.0250903251074515,0.2243141662851736,0.5468504242349727,0.2037450843724022,3.53249326579916
100,1,downLeft,high,4.243704573229499,1,0,0,1,0,0.017563227575216,0.1570199163996215,0.6827952969644808,0.1426215590606815,4.51190997586184
101,1,midRight,lowB,2.5889640967049496,1,0,1,0,0,0.0122942593026512,0.4099139414797351,0.4779567078751365,0.099835091342477,2.6268697625622153
102,1,midRight,lowB,3.7808738134391735,1,0,1,0,0,0.0086059815118558,0.5869397590358145,0.3345696955125956,0.0698845639397339,3.8880572938014484
103,1,downLeft,high,3.48422558253017,1,0,0,1,0,0.0060241870582991,0.4108578313250701,0.5341987868588169,0.0489191947578137,3.512819730922259
104,1,downLeft,high,4.414946811008756,1,0,0,1,0,0.0042169309408093,0.2876004819275491,0.6739391508011718,0.0342434363304696,4.482076139521178
105,1,downLeft,high,4.983528485790425,1,0,0,1,0,0.0029518516585665,0.2013203373492844,0.7717574055608203,0.0239704054313287,4.92011179949894
106,1,downLeft,high,5.593344772783391,1,0,0,1,0,0.0020662961609965,0.1409242361444991,0.8402301838925742,0.0167792838019301,5.513844815955727
107,1,midRight,lowB,2.708060879916823,1,0,1,0,0,0.0014464073126976,0.3986469653011493,0.588161128724802,0.011745498661351,2.4518413439973203
108,1,downLeft,high,4.682502658945063,1,0,0,1,0,0.0010124851188883,0.2790528757108045,0.7117127901073614,0.0082218490629457,4.603768549605108
109,1,downLeft,high,5.125228387245978,1,0,0,1,0,0.0007087395832218,0.1953370129975631,0.798198953075153,0.005755294344062,5.141306400331813
110,1,downLeft,high,5.499243039838539,1,0,0,1,0,0.0004961177082552,0.1367359090982942,0.8587392671526071,0.0040287060408434,5.593793958942743
111,1,downLeft,high,5.85865916655157,1,0,0,1,0,0.0003472823957786,0.0957151363688059,0.9011174870068248,0.0028200942285903,5.787824140050163
112,1,downLeft,high,6.0529765729297385,1,0,0,1,0,0.000243097677045,0.0670005954581641,0.9307822409047776,0.0019740659600132,5.976709353830298
114,1,downLeft,high,5.923557985543878,1,0,0,1,0,0.0001701683739315,0.0469004168207149,0.9515475686333442,0.0013818461720092,6.252423742038163
116,1,midLeft,lowA,2.105729545032029,1,1,0,0,0,0.3001191178617521,0.0328302917745004,0.666083298043341,0.0009672923204065,2.0276106008904327
121,1,downLeft,high,4.937350207303901,1,0,0,1,0,0.2100833825032264,0.0229812042421503,0.7662583086303387,0.0006771046242845,5.02460251489382
122,1,downLeft,high,5.335064694859966,1,0,0,1,0,0.1470583677522585,0.0160868429695052,0.8363808160412372,0.0004739732369991,5.31322102848385
123,1,downLeft,high,5.807979905643482,1,0,0,1,0,0.1029408574265809,0.0112607900786536,0.885466571228866,0.0003317812658994,5.641011374250791
125,1,downLeft,high,6.055131439195577,1,0,0,1,0,0.0720586001986066,0.0078825530550575,0.9198265998602062,0.0002322468861296,5.9468913976350315
126,1,downLeft,high,6.279434221500162,1,0,0,1,0,0.0504410201390246,0.0055177871385402,0.9438786199021444,0.0001625728202907,6.249175202603457
127,1,midLeft,lowA,2.081958588715381,1,1,0,0,0,0.3353087140973173,0.0038624509969782,0.6607150339315011,0.0001138009742035,2.288008131398431
130,1,downLeft,high,4.93571745138379,1,0,0,1,0,0.234716099868122,0.0027037156978847,0.7625005237520508,7.966068194245352e-05,5.138181957681698
131,1,downRight,lowC,2.005705158099698,1,0,0,0,1,0.1643012699076854,0.0018926009885193,0.5337503666264356,0.3000557624773597,2.0518203953074545
132,1,downLeft,high,4.368072260667021,1,0,0,1,0,0.1150108889353798,0.0013248206919635,0.6736252566385049,0.2100390337341517,4.336498365672705
133,1,midRight,lowB,1.8642558210052111,1,0,1,0,0,0.0805076222547658,0.3009273744843745,0.4715376796469535,0.1470273236139062,1.9393208768216186
134,1,downLeft,high,4.170508733573224,1,0,0,1,0,0.0563553355783361,0.2106491621390621,0.6300763757528675,0.1029191265297343,4.105013000423812
135,1,midLeft,lowA,2.199463326151685,1,1,0,0,0,0.3394487349048352,0.1474544134973435,0.4410534630270072,0.072043388570814,2.258245834029009
136,1,midRight,lowB,2.6067342264399027,1,0,1,0,0,0.2376141144333846,0.4032180894481404,0.308737424118905,0.0504303719995698,2.5798642375840997
137,1,midRight,lowB,3.8157740427411775,1,0,1,0,0,0.1663298801033692,0.5822526626136983,0.2161161968832335,0.0353012603996988,3.9256867691186876
138,1,downRight,lowC,2.088664704173836,1,0,0,0,1,0.1164309160723584,0.4075768638295888,0.1512813378182634,0.3247108822797891,2.215597369289124
140,1,downLeft,high,2.569120365229248,1,0,0,1,0,0.0815016412506509,0.2853038046807122,0.4058969364727844,0.2272976175958524,2.549761604674449
144,1,downLeft,high,3.776793088092152,1,0,0,1,0,0.0570511488754556,0.1997126632764985,0.584127855530949,0.1591083323170967,3.925272834351735
145,1,midRight,lowB,2.90518792764523,1,0,1,0,0,0.0399358042128189,0.439798864293549,0.4088894988716643,0.1113758326219677,2.8079949241330175
146,1,downLeft,high,3.894515091421066,1,0,0,1,0,0.0279550629489732,0.3078592050054842,0.5862226492101651,0.0779630828353774,3.762651633143378
147,1,downLeft,high,4.638639203403938,1,0,0,1,0,0.0195685440642812,0.2155014435038389,0.7103558544471156,0.0545741579847641,4.649016700903935
148,1,downRight,lowC,2.3945698781177067,1,0,0,0,1,0.0136979808449969,0.1508510104526872,0.4972490981129809,0.3382019105893349,2.205327516670637
149,1,downLeft,high,4.095784564812657,1,0,0,1,0,0.0095885865914978,0.1055957073168811,0.6480743686790866,0.2367413374125344,4.274385119092478
150,1,downLeft,high,4.872975509062949,1,0,0,1,0,0.0067120106140484,0.0739169951218167,0.7536520580753606,0.1657189361887741,4.995388974718644
151,1,downLeft,high,5.448200747047313,1,0,0,1,0,0.0046984074298339,0.0517418965852717,0.8275564406527525,0.1160032553321418,5.372883900508277
156,1,downLeft,high,5.73644834562198,1,0,0,1,0,0.0032888852008837,0.0362193276096902,0.8792895084569268,0.0812022787324993,5.672262681551966
157,1,midLeft,lowA,1.946588062410001,1,1,0,0,0,0.3023022196406186,0.0253535293267831,0.6155026559198488,0.0568415951127495,1.878216330317095
159,1,downLeft,high,4.762359039964757,1,0,0,1,0,0.211611553748433,0.0177474705287482,0.7308518591438942,0.0397891165789246,4.999706190684037
160,1,downRight,lowC,2.1571932928576643,1,0,0,0,1,0.1481280876239031,0.0124232293701237,0.5115963014007259,0.3278523816052472,2.239406395106295
161,1,midRight,lowB,2.126033069206523,1,0,1,0,0,0.1036896613367321,0.3086962605590866,0.3581174109805081,0.229496667123673,2.0319253391998497
162,1,downLeft,high,3.5639329438076413,1,0,0,1,0,0.0725827629357125,0.2160873823913606,0.5506821876863557,0.1606476669865711,3.6415771197728968
163,1,downRight,lowC,2.576044410960446,1,0,0,0,1,0.0508079340549987,0.1512611676739524,0.385477531380449,0.4124533668905998,2.6641472300515083
164,1,downLeft,high,3.73527144523713,1,0,0,1,0,0.0355655538384991,0.1058828173717667,0.5698342719663143,0.2887173568234198,3.835595690653991
165,1,midLeft,lowA,2.0997047565978453,1,1,0,0,0,0.3248958876869494,0.0741179721602367,0.39888399037642,0.2021021497763939,2.1452439576551923
166,1,midRight,lowB,2.379956429774878,1,0,1,0,0,0.2274271213808645,0.3518825805121656,0.279218793263494,0.1414715048434757,2.267425185556367
167,1,downLeft,high,3.322919726990669,1,0,0,1,0,0.1591989849666052,0.2463178063585159,0.4954531552844458,0.099030053390433,3.217358819086921
170,1,downLeft,high,4.165611213465321,1,0,0,1,0,0.1114392894766236,0.1724224644509611,0.6468172086991121,0.0693210373733031,4.163945227409541
172,1,downLeft,high,4.944175749597124,1,0,0,1,0,0.0780075026336365,0.1206957251156728,0.7527720460893784,0.0485247261613121,4.911354031306536
173,1,downLeft,high,5.390266151450179,1,0,0,1,0,0.0546052518435455,0.084487007580971,0.8269404322625649,0.0339673083129185,5.5159037147265
174,1,midRight,lowB,2.359215688205445,1,0,1,0,0,0.0382236762904819,0.3591409053066797,0.5788583025837954,0.0237771158190429,2.3738058492604215
176,1,downLeft,high,4.558201084633537,1,0,0,1,0,0.0267565734033373,0.2513986337146758,0.7052008118086568,0.01664398107333,4.504401142198181
177,1,downRight,lowC,2.1313319053869964,1,0,0,0,1,0.0187296013823361,0.175979043600273,0.4936405682660597,0.311650786751331,2.1016252624960616
179,1,downLeft,high,4.130328549888956,1,0,0,1,0,0.0131107209676352,0.1231853305201911,0.6455483977862418,0.2181555507259317,4.237385383614347
180,1,downLeft,high,4.951924755892508,1,0,0,1,0,0.0091775046773447,0.0862297313641338,0.7518838784503693,0.1527088855081522,4.824897407372231
181,1,midLeft,lowA,2.121782550049112,1,1,0,0,0,0.3064242532741412,0.0603608119548936,0.5263187149152585,0.1068962198557065,2.059927200101855
182,1,downLeft,high,4.273698463062241,1,0,0,1,0,0.2144969772918988,0.0422525683684255,0.668423100440681,0.0748273538989945,4.239692009411253
183,1,downRight,lowC,2.3408834116184605,1,0,0,0,1,0.1501478841043292,0.0295767978578978,0.4678961703084767,0.3523791477292962,2.3749037433202544
184,1,downLeft,high,4.062129001281775,1,0,0,1,0,0.1051035188730304,0.0207037585005285,0.6275273192159336,0.2466654034105073,4.020571672814978
185,1,downLeft,high,4.6595472221443295,1,0,0,1,0,0.0735724632111213,0.0144926309503699,0.7392691234511536,0.1726657823873551,4.93123652097168
186,1,midRight,lowB,2.191765756997332,1,0,1,0,0,0.0515007242477849,0.3101448416652589,0.5174883864158075,0.1208660476711486,2.011503377021777
187,1,midLeft,lowA,2.2088882777788377,1,1,0,0,0,0.3360505069734494,0.2171013891656812,0.3622418704910652,0.084606233369804,2.2029765932214103
188,1,midLeft,lowA,3.5223711566361127,1,1,0,0,0,0.5352353548814146,0.1519709724159769,0.2535693093437456,0.0592243633588628,3.41578880319317
189,1,midLeft,lowA,4.31213156610752,1,1,0,0,0,0.6746647484169902,0.1063796806911838,0.177498516540622,0.0414570543512039,4.400162811291428
190,1,midLeft,lowA,4.963071206258144,1,1,0,0,0,0.7722653238918932,0.0744657764838286,0.1242489615784354,0.0290199380458427,5.065968924695433
192,1,midRight,lowB,2.10282757592826,1,0,1,0,0,0.5405857267243253,0.35212604353868,0.0869742731049047,0.0203139566320899,2.3097233198589313
193,1,downRight,lowC,1.990567736670105,1,0,0,0,1,0.3784100087070277,0.246488230477076,0.0608819911734333,0.3142197696424629,2.100214320078725
194,1,downLeft,high,2.107688220764929,1,0,0,1,0,0.2648870060949194,0.1725417613339532,0.3426173938214033,0.219953838749724,2.240460928380648
195,1,midLeft,lowA,3.166254901748143,1,1,0,0,0,0.4854209042664436,0.1207792329337672,0.2398321756749823,0.1539676871248068,3.0795595039394104
196,1,downLeft,high,3.052169671959403,1,0,0,1,0,0.3397946329865104,0.084545463053637,0.4678825229724876,0.1077773809873648,3.048653762021682
198,1,midRight,lowB,2.3278348007027656,1,0,1,0,0,0.2378562430905573,0.3591818241375459,0.3275177660807413,0.0754441666911553,2.5115277618663026
199,1,midRight,lowB,3.566024978740627,1,0,1,0,0,0.1664993701633901,0.5514272768962821,0.2292624362565189,0.0528109166838087,3.6006071990861566
200,2,downRight,lowC,2.412892147350649,1,0,0,0,1,0.116549559114373,0.3859990938273975,0.1604837053795632,0.3369676416786661,2.3298173361752026
202,2,downRight,lowC,3.4361649921486666,1,0,0,0,1,0.0815846913800611,0.2701993656791783,0.1123385937656942,0.5358773491750664,3.4998525757093106
203,2,downRight,lowC,4.411448533643056,1,0,0,0,1,0.0571092839660428,0.1891395559754248,0.078637015635986,0.6751141444225465,4.466793274162982
204,2,downRight,lowC,5.01421496654981,1,0,0,0,1,0.0399764987762299,0.1323976891827973,0.0550459109451901,0.7725799010957823,5.03108136768852
205,2,downLeft,high,2.26304785278415,1,0,0,1,0,0.0279835491433609,0.0926783824279581,0.3385321376616331,0.5408059307670477,2.217626605455942
207,2,midLeft,lowA,2.226973871983992,1,1,0,0,0,0.3195884844003527,0.0648748676995707,0.2369724963631432,0.3785641515369334,2.1151955882852667
208,2,downRight,lowC,3.6300317444886328,1,0,0,0,1,0.2237119390802469,0.0454124073896995,0.1658807474542002,0.5649949060758535,3.6157428641096225
